site,veg_type,exp,location,plot_Id,unique_plotID,DNA_sample.id,unique_sampID,treatment,myc_assoc,isolate,mel_status,incub_period.days,incub_period.wks,incub_period.years,Notes
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,245,CCSav_365,EM_tree,EM,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,246,CCSav_360,forest_grassland,mixed,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,247,CCSav_350,AM_grass,AM,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,248,CCSav_300,EM_tree,EM,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,249,CCSav_306,forest_grassland,mixed,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,250,CCSav_288,AM_grass,AM,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,251,CCSav_326,EM_tree,EM,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,252,CCSav_332,forest_grassland,mixed,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,253,CCSav_327,AM_grass,AM,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,254,CCSav_381,EM_tree,EM,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,255,CCSav_376,forest_grassland,mixed,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,256,CCSav_373,AM_grass,AM,Mel_Black,melanized ,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,257,CCSav_285,EM_tree,EM,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,258,CCSav_281,forest_grassland,mixed,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,259,CCSav_282,AM_grass,AM,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,260,CCSav_318,EM_tree,EM,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,261,CCSav_320,forest_grassland,mixed,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,262,CCSav_321,AM_grass,AM,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,263,CCSav_355,EM_tree,EM,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,264,CCSav_354,forest_grassland,mixed,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,265,CCSav_351,AM_grass,AM,Mort,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,266,CCSav_289,EM_tree,EM,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,267,CCSav_280,forest_grassland,mixed,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,268,CCSav_279,AM_grass,AM,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,269,CCSav_315,EM_tree,EM,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,270,CCSav_317,forest_grassland,mixed,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,271,CCSav_325,AM_grass,AM,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,272,CCSav_363,EM_tree,EM,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,273,CCSav_359,forest_grassland,mixed,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,274,CCSav_352,AM_grass,AM,Mel_White,non-melanized,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,275,CCSav_287,EM_tree,EM,Mel_Black,melanized ,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,276,CCSav_278,forest_grassland,mixed,Mel_Black,melanized ,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,277,CCSav_284,AM_grass,AM,Mel_Black,melanized ,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,278,CCSav_323,EM_tree,EM,Mel_Black,melanized ,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,279,CCSav_322,forest_grassland,mixed,Mel_Black,melanized ,56,8,0.153424658,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,280,CCSav_341,AM_grass,AM,Mel_Black,melanized ,56,8,0.153424658,
