location,site,exp,location,soil_moisture,pH,plot_Id_pair,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,mel_status,harvest_date,incub_period.days,incub_period.wks,incub_period.months,incub_period.years,mass_remaining ,mt.mo,notes
moores creek,Temperate Forest,MC_forest,EM_6,4.166666667,3.57,pair_6,10,MCFor_440,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,18.55920398,0.18559204,
moores creek,Temperate Forest,MC_forest,EM_6,4.166666667,3.57,pair_6,10,MCFor_438,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,14.1685953,0.141685953,
moores creek,Temperate Forest,MC_forest,EM_7,5.808594642,NA,pair_5,12,MCFor_456,EM_tree,EM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,50.22328549,0.502232855,
moores creek,Temperate Forest,MC_forest,EM_7,5.808594642,NA,pair_5,12,MCFor_447,EM_tree,EM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,9.020517255,0.090205173,
moores creek,Temperate Forest,MC_forest,EM_7,2.233333333,3.52,pair_5,12,MCFor_454,EM_tree,EM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,40.28454047,0.402845405,
moores creek,Temperate Forest,MC_forest,EM_7,2.233333333,3.52,pair_5,12,MCFor_449,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,17.86849462,0.178684946,
moores creek,Temperate Forest,MC_forest,EM_7,2.133333333,3.49,pair_5,12,MCFor_451,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,20.85715412,0.208571541,
moores creek,Temperate Forest,MC_forest,EM_7,2.133333333,3.49,pair_5,12,MCFor_453,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,24.95657666,0.249565767,
moores creek,Temperate Forest,MC_forest,EM_8,9.237023291,NA,pair_7,14,MCFor_468,EM_tree,EM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,52.10639484,0.521063948,
moores creek,Temperate Forest,MC_forest,EM_8,9.237023291,NA,pair_7,14,MCFor_462,EM_tree,EM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,19.72986972,0.197298697,
moores creek,Temperate Forest,MC_forest,EM_8,4.533333333,3.13,pair_7,14,MCFor_466,EM_tree,EM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,31.87994166,0.318799417,
moores creek,Temperate Forest,MC_forest,EM_8,4.533333333,3.13,pair_7,14,MCFor_458,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,13.05627361,0.130562736,
moores creek,Temperate Forest,MC_forest,EM_8,3.7,3.04,pair_7,14,MCFor_469,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,NA,NA,hole in lbag
moores creek,Temperate Forest,MC_forest,EM_8,3.7,3.04,pair_7,14,MCFor_461,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,17.46994848,0.174699485,
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,field0_1,22, CCP2_63,EM_forb,EM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,18.75,0.1875,
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,field0_1,22, CCP2_65,AM_grass,AM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,21.25984252,0.212598425,
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,field0_1,22, CCP2_71,EM_forb,EM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,37.69230769,0.376923077,
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,field0_1,22, CCP2_77,AM_grass,AM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,49.80079681,0.498007968,
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,field0_1,22, CCP2_72,AM_grass,AM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,39.35742972,0.393574297,
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,field0_1,22, CCP2_73,EM_forb,EM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,43.79844961,0.437984496,
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_1,22, CCP2_80,AM_grass,AM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_1,22, CCP2_81,EM_forb,EM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_1,22, CCP2_82,AM_grass,AM,Mel_Black,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_1,22, CCP2_83,EM_forb,EM,Mel_Black,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_1,22, CCP2_84,AM_grass,AM,Mort,non-melanized,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_1,22, CCP2_85,EM_forb,EM,Mort,non-melanized,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,field0_2,25, CCP2_99,EM_forb,EM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,24.31372549,0.243137255,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,field0_2,25, CCP2_103,AM_grass,AM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,29.52755906,0.295275591,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,field0_2,25, CCP2_111,AM_grass,AM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,46.33204633,0.463320463,
